name,state,revenue,federal_revenue,state_revenue,local_revenue,expenses
PRIBILOF SCHOOL DISTRICT,Alaska,3351,895,2091,365,3343
SAINT MARY'S SCHOOL DISTRICT,Alaska,6232,1250,4744,238,5849
SKAGWAY SCHOOL DISTRICT,Alaska,2809,37,1116,1656,2888
SOUTHEAST ISLAND SCHOOL DISTRICT,Alaska,7816,766,6783,267,8621
SOUTHWEST REGION SCHOOL DISTRICT,Alaska,28460,6266,21599,595,29436
TANANA CITY SCHOOL DISTRICT,Alaska,1565,294,1225,46,1453
UNALASKA CITY SCHOOL DISTRICT,Alaska,11124,325,6169,4630,10956
CHATHAM SCHOOL DISTRICT,Alaska,4531,717,3744,70,4608
KUSPUK SCHOOL DISTRICT,Alaska,10323,2556,7472,295,10676
DENALI BOROUGH SCHOOL DISTRICT,Alaska,10552,507,7804,2241,10164
YUKON FLATS SCHOOL DISTRICT,Alaska,11144,1804,8963,377,12388
VALDEZ CITY SCHOOL DISTRICT,Alaska,17238,522,7150,9566,18967
CHUGACH SCHOOL DISTRICT,Alaska,8718,1872,5687,1159,8284
WRANGELL PUBLIC SCHOOL DISTRICT,Alaska,7745,2063,4948,734,8119
YAKUTAT SCHOOL DISTRICT,Alaska,2846,329,1898,619,3228
YUKON-KOYUKUK SCHOOL DISTRICT,Alaska,26275,5822,19577,876,26881
CAVE CREEK UNIFIED DISTRICT,Arizona,47430,1782,9572,36076,43947
CHINO VALLEY UNIFIED DISTRICT,Arizona,17567,2491,6051,9025,16612
CLARKDALE-JEROME ELEMENTARY DISTRICT,Arizona,3688,429,1231,2028,3412
SALOME CONSOLIDATED ELEMENTARY DISTRICT,Arizona,1659,153,345,1161,1551
CENTER FOR ACADEMIC SUCCESS  INC.,Arizona,7598,797,6667,134,8674
PINE FOREST EDUCATION ASSOCIATION  INC.,Arizona,1611,86,1525,0,1791
FLAGSTAFF ARTS AND LEADERSHIP ACADEMY,Arizona,2480,0,2480,0,2480
MONTESSORI CHARTER SCHOOL OF FLAGSTAFF  INC.,Arizona,1602,0,1602,0,1550
COLORADO CITY UNIFIED DISTRICT,Arizona,5641,1517,2022,2102,5999
VERNON ELEMENTARY DISTRICT,Arizona,1840,313,832,695,1855
PINON UNIFIED DISTRICT,Arizona,18582,9921,7350,1311,17743
HEBER-OVERGAARD UNIFIED DISTRICT,Arizona,5364,772,796,3796,4960
TRIUMPHANT LEARNING CENTER,Arizona,674,5,669,0,673
RIDGELINE ACADEMY  A CHALLENGE FOUNDATION ACADEMY,Arizona,3354,68,3231,55,3186
BOYS & GIRLS CLUBS OF THE EAST VALLEY DBA MESA ARTS ACADEMY,Arizona,1671,158,1507,6,1988
REID TRADITIONAL SCHOOLS' VALLEY ACADEMY  INC.,Arizona,4618,91,4406,121,4027
